iter	Passed	Remaining
0	192	19056
1	233	11433
2	297	9621
3	339	8142
4	378	7186
5	414	6488
6	480	6389
7	530	6097
8	557	5637
9	588	5295
10	631	5107
11	671	4925
12	704	4714
13	733	4506
14	767	4347
15	794	4169
16	822	4016
17	853	3887
18	883	3764
19	921	3684
20	970	3651
21	1007	3573
22	1037	3474
23	1114	3529
24	1175	3526
25	1240	3529
26	1296	3504
27	1365	3510
28	1395	3416
29	1420	3315
30	1443	3213
31	1468	3120
32	1494	3033
33	1518	2947
34	1547	2874
35	1572	2795
36	1598	2722
37	1625	2651
38	1649	2579
39	1677	2516
40	1695	2439
41	1725	2382
42	1748	2318
43	1774	2258
44	1797	2197
45	1828	2146
46	1853	2090
47	1879	2035
48	1909	1987
49	1935	1935
50	1963	1886
51	1994	1841
52	2037	1807
53	2086	1777
54	2166	1772
55	2243	1762
56	2312	1744
57	2379	1722
58	2415	1678
59	2440	1626
60	2511	1605
61	2607	1597
62	2700	1586
63	2751	1547
64	2816	1516
65	2860	1473
66	2889	1423
67	2902	1365
68	2955	1327
69	2999	1285
70	3034	1239
71	3112	1210
72	3165	1170
73	3228	1134
74	3261	1087
75	3301	1042
76	3358	1003
77	3404	960
78	3458	919
79	3488	872
80	3533	828
81	3572	784
82	3616	740
83	3662	697
84	3709	654
85	3740	608
86	3830	572
87	3914	533
88	3985	492
89	4044	449
90	4129	408
91	4160	361
92	4185	315
93	4215	269
94	4245	223
95	4272	178
96	4320	133
97	4345	88
98	4375	44
99	4399	0
