iter	RMSE
0	2.828068552
1	2.618241341
2	2.422768366
3	2.241635628
4	2.090323924
5	1.940587472
6	1.809167537
7	1.689074664
8	1.574653578
9	1.480024003
10	1.389375095
11	1.302347345
12	1.231762534
13	1.163783897
14	1.100240678
15	1.045593613
16	0.9993157542
17	0.9560915718
18	0.9218506043
19	0.8883020776
20	0.8588403468
21	0.8367640382
22	0.813147254
23	0.7906996428
24	0.7713137538
25	0.7559902987
26	0.7396862213
27	0.7250411382
28	0.7130946883
29	0.7020212144
30	0.6937145639
31	0.6838404994
32	0.6753467067
33	0.6677143164
34	0.6619650229
35	0.6550912461
36	0.6497300625
37	0.6440421813
38	0.6390977059
39	0.6343789056
40	0.6306423341
41	0.6275091482
42	0.6249871133
43	0.6218549453
44	0.6182617111
45	0.6156205116
46	0.6129508643
47	0.6110032823
48	0.6087831303
49	0.6069905458
50	0.6058519059
51	0.6035245046
52	0.6020534945
53	0.6007041843
54	0.5992334933
55	0.5980709504
56	0.5967503603
57	0.5953614411
58	0.5949246619
59	0.5940638594
60	0.5905799373
61	0.5867408024
62	0.5862353264
63	0.5852544534
64	0.5844906718
65	0.583724512
66	0.58350716
67	0.5832548782
68	0.5821573771
69	0.5813785445
70	0.5806390965
71	0.5798612548
72	0.5790167623
73	0.5781890368
74	0.5757250449
75	0.5748397806
76	0.5738803892
77	0.5733973755
78	0.5725505909
79	0.5722668643
80	0.5713962384
81	0.5709985289
82	0.5700522882
83	0.5694121268
84	0.5672419617
85	0.5665373012
86	0.5661829397
87	0.5658694022
88	0.5655109932
89	0.5645038853
90	0.5638584422
91	0.5624741383
92	0.5620873875
93	0.5613968795
94	0.5608587174
95	0.56039272
96	0.5599364603
97	0.5596354485
98	0.5590458109
99	0.5586134909
