iter	Passed	Remaining
0	181	17995
1	211	10351
2	239	7754
3	267	6417
4	296	5626
5	327	5124
6	356	4731
7	382	4401
8	410	4153
9	440	3966
10	468	3789
11	494	3629
12	525	3513
13	553	3400
14	583	3307
15	610	3203
16	638	3117
17	666	3037
18	694	2959
19	724	2897
20	751	2828
21	780	2767
22	808	2706
23	836	2649
24	864	2594
25	892	2539
26	920	2488
27	950	2444
28	977	2394
29	1005	2345
30	1029	2292
31	1056	2244
32	1102	2238
33	1129	2192
34	1156	2147
35	1187	2111
36	1216	2070
37	1244	2030
38	1272	1989
39	1300	1950
40	1321	1901
41	1349	1863
42	1377	1825
43	1404	1787
44	1432	1751
45	1461	1716
46	1489	1679
47	1516	1643
48	1546	1609
49	1574	1574
50	1601	1538
51	1631	1506
52	1659	1471
53	1685	1436
54	1714	1402
55	1743	1369
56	1774	1338
57	1800	1304
58	1815	1261
59	1832	1221
60	1860	1189
61	1887	1156
62	1912	1123
63	1939	1090
64	1965	1058
65	1993	1027
66	2003	986
67	2012	947
68	2040	916
69	2069	887
70	2096	856
71	2124	826
72	2151	795
73	2173	763
74	2199	733
75	2228	703
76	2257	674
77	2285	644
78	2313	615
79	2332	583
80	2360	553
81	2378	522
82	2406	492
83	2435	463
84	2462	434
85	2492	405
86	2519	376
87	2541	346
88	2569	317
89	2596	288
90	2623	259
91	2651	230
92	2679	201
93	2708	172
94	2736	144
95	2763	115
96	2792	86
97	2820	57
98	2847	28
99	2874	0
